,query,comment_id,comment,room_type,fuzzy_room_type
571,关于前台服务和交通便利性的评论,581,"这次总共入住4晚，可爱的前厅Virina小姐姐(名字拼写不知道有没有写错)让我们用很优惠的价格升级到粤韵双床房，还送了早餐！
超级棒的入住体验，酒店出门就是地铁去哪都很方便。下次去广州还会选择花园酒店！",花园双床房,双床房
572,关于整体满意度和客房服务的评论,582,体验非常好，不愧是老牌五星酒店，打卡过上海花园酒店，慕名来到广州花园酒店。感谢客房部姚师傅，非常细心周到，下次还会去,红棉大床套房,套房
573,关于整体满意度和公共设施的评论,583,和同事出差，一如既往的历史的沉淀的稳重的高级感。热情的服务，布置精美的鲜花出其不意的出现在各个角落。健身房环境也很赞完成了一个5公里,花园大床房,大床房
574,关于前台服务和整体满意度的评论,584,第一次住花园酒店，设施卫生环境都很好，前台的Viria非常nice，想人所想急人所急，表扬一下，老板该给加薪了。??因为不错的服务又续住了几晚，下次还会再来。,花园双床房,双床房
575,关于餐饮设施和整体满意度的评论,585,花园酒店是老牌的五星酒店了，地段就在闹市中心，大堂金碧辉煌，带一个大大的后花园，四楼还有一个酒店博物馆，酒店自带10家餐厅，可以说无敌方便了。30楼的旋转餐厅可以俯瞰360度风景，环境雅致，早餐品种很丰富，下午提供下午茶、五点后还有happy hour，来自印度的Carrie讲得一口流利的中文，笑容甜美，热心帮我们介绍了很多美食，还有美酒、现做的烤饼，还会热情跟小朋友互动，Aimee、Mignon服务效率特别高，还有Lina，都让人感受到宾至如归，一家人都留下难忘的美好回忆，下次还会再来的！,花园大床房,大床房
576,关于整体满意度和体验的评论,586,花园酒店名不虚传！,红棉双床套房,套房
577,关于整体满意度和体验的评论,587,"一如既往的 喜欢花园酒家 ,每年都会入住的酒店",花园大床房,大床房
578,关于整体满意度和公共设施的评论,588,每次来广州都住这里，传统老钱五星酒店，花园酒店名不虚传，从硬件到服务都很在线。大师贝聿铭设计的作品，如果有空去酒店花园里散散步非常惬意。,花园大床房,大床房
579,关于卫生状况和交通便利性的评论,589,干净整洁，位置也挺好，去哪儿都方便，后面有个大公园，散步好去处,城央绿意双床房,双床房
580,关于前台服务和体验的评论,590,喜欢前台接待Cassie，态度很好没有无烟房还给我升级了。很贴心… 爱了爱了,花园大床房,大床房
581,关于前台服务和餐饮设施的评论,591,前台赠送了早餐，行政酒廊Carrie和Cathy，赠送了下午茶，非常周到热情。酒店很有历史韵味，值得打卡,城央绿意双床房,双床房
582,关于前台服务和整体满意度的评论,592,环境优美没话说真的。每次出差必选花园酒店入住。前台有位叫什么来好像virIioi戴眼镜的小姐姐非常细心温柔可爱型…哈哈我可能打错英文名。不好意思哈。,花园大床房,大床房
583,关于卫生状况和交通便利性的评论,593,房间卫生干净服务很好热情周到，一楼西餐厅也不错就是太多美洲飞洲伊朗等外国人，周边没什么可吃的离地铁比较近出门就是打车也方便门口就有很多,花园双床房,双床房
584,关于前台服务和餐饮设施的评论,594,强烈推荐花园酒店，在这里度过了非常愉快的时光。本来看了些差评有些犹豫，但酒店就在地铁口，交通方便，而且由于是从天河区换到这边住，来不及再选了，就想先过来看看，事实证明来对了。一进门就被酒店大堂吸引，中西合璧的布置非常漂亮，工作人员很多但井然有序。前台办理入住的viria小姐姐人美心善，专业高效，很快就办好了手续，主动升级了套房，住的非常舒心，还送了行政酒廊的下午茶，非常感谢。一整天一直在下雨，懒得出门，但行政酒廊的食材新鲜，服务超好，也是很好的体验，mignon一直在介绍酒店各个餐厅，推荐各类饮品和餐食，还按照我的要求，特调了一杯很清淡的酒，非常好喝。Carrie是一个印度小姐姐，聊了一会儿weather，aimee和lina也非常热情周到！早餐在旋转餐厅吃的，俯瞰下去景色很美，小哥哥们服务周到。雨停了，去花园转了一圈，步步有景，鱼很漂亮也很肥，很多人拍照。4层的博物馆比想象中大而全，不仅有酒店的历史，也有些广州的历史和酒店行业的发展史。,花园大床房,大床房
585,关于前台服务和公共设施的评论,595,酒店老牌五星，大厅很大气，房间很好，前台小姐姐ANN免费升级了房间，唯一就是停车场在边上，要走几步。,花园双床房,双床房
586,关于前台服务和餐饮设施的评论,596,旧地重游『白金五星级酒店』：广州花园酒店，园林的建筑景观，定会让你宾至如归。每次下榻位于闹中取静的市中心——花园酒店，都能给我一种好温馨的感觉。在这里，我遇到了酒店行政酒廊的Carrie姐姐和她的同事Aimee，得知我们是一家人来城央度假为我们的其中一间房间升级为粤韵房和给了我们一家人的行政酒廊使用权。这次的行政酒廊是在30楼，凌旋阁广州最大的旋转餐厅——可容纳两千多人同时进餐的凌旋阁，北眺云山，南望珠水，可以尽览广州的景色。早餐选择丰富且中西结合。同行老人家都不得不赞叹一个字“靓”。用餐过程中行政酒廊的Carrie姐姐会不定时过来询问是否需要帮助，入住期间还去了后花园观赏锦鲤，感觉“老朋友”都被养得胖嘟嘟了。在这里，Carrie姐姐和Aimee的服务很好的诠释了白金五星级酒店的水平。再次感谢您们对我们一家的款待。期待下次再见！,红棉双床套房,套房
587,关于整体满意度和前台服务的评论,597,豪华大气、服务好,花园大床房,大床房
588,关于整体满意度和房间设施的评论,598,一如既往的好… 房间不错 …服务好…,花园大床房,大床房
589,关于整体满意度和性价比的评论,599,白金五星级，名副其实。值得再去哦。,花园大床房,大床房
590,关于前台服务和交通便利性的评论,600,不愧是老牌五星，随时随地感受到专业的服务，门口就地铁，出门好吃的太多了，游泳还有饮料送！以后来广州就认花园酒店,花园双床房,双床房
591,关于性价比和前台服务的评论,601,房间很大，套房，睡得很舒服，酒店环境也很赞，两点不足，一就是1千多的房价迷你吧的饮料竟然全部收费。二就是入住时那个服务员竟然不知道我的价钱含早餐，然后询问了也答错了吃早餐的地方，新来的吗？要好好培训了。,花园大床房,大床房
592,关于周边配套和前台服务的评论,602,环境优美，有个园林可以喂鱼，酒店有个博物馆，前台姐姐服务周到,花园大床房,大床房
593,关于前台服务和整体满意度的评论,603,来到酒店经理看到我们两大三小的组合，二话不说马上给换成了亲子套房，因为来的晚预订不到晚上自助餐位置了，经理又帮我们优先预约了第二轮自助餐，整个服务流程提现了专业以及关怀，非常满意的一次体验,花园双床房,双床房
594,关于交通便利性和整体满意度的评论,604,花园酒店位置好，交通便利，酒店设施高端大气，服务热情周到，出行首选。,花园双床房,双床房
595,关于整体满意度和卫生状况的评论,605,酒店干净卫生，住的很舒服，多住几晚体验感更好，生日酒店还送了一个小蛋糕，预定了一晚瀑布酒店，感觉一般般,花园大床房,大床房
596,关于前台服务和公共设施的评论,606,感谢前台Gillian的服务，花园酒店的配套设施都很好，客房很宽敞，花园式的环境很漂亮，楼顶还有博物馆，虽小却也底蕴深厚,花园双床房,双床房
597,关于前台服务和整体满意度的评论,607,服务很好，酒店大堂大气，服务人员很热情,花园双床房,双床房
598,关于交通便利性和周边配套的评论,608,环境是真的好，酒店大厅^-^气派 周边还有广州酒家 超级方便 地铁出来就是酒店 对于带娃的出行 节省不少时间了 太完美了??还贴心的送了小甜品,花园双床房,双床房
599,关于前台服务和退房/入住效率的评论,609,酒店大堂很气派，不论是办理入住还是退房都有引导，效率挺高，房间不大，是老酒店了，胜在洗澡水很冲洗的舒服，客服小李还亲自送来小甜品。出行地铁方便吃饭可选择余地比较多，就是周边那几家很红的餐厅都需要等位好久。,花园双床房,双床房
600,关于餐饮设施和房间设施的评论,610,床真舒适，美美的睡了一觉！30楼的旋转自助餐厅的食物太美味??瀑布花园太壮观了！,花园大床房,大床房
601,关于整体满意度和前台服务的评论,612,老牌五星，浓郁的老广州味，喜欢喜欢有年轻时候的回忆，服务特别好。真诚细致。特别感谢James。Man c.y,花园大床房,大床房
602,关于公共设施和整体满意度的评论,613,酒店整体设施都比较完善，后花园很大，4楼还有个博物馆，是老品牌五星级酒店了，入住期间羊羊精品店Livia很热情，酒店的小羊超级可爱~,花园大床房,大床房
603,关于卫生状况和整体满意度的评论,614,"echo小姐姐很棒 
卫生：很好
环境：优美
服务：态度好",红棉大床套房,套房
604,关于整体满意度和前台服务的评论,615,服务很好，环境舒适宜人，值得入住！,花园大床房,大床房
605,关于前台服务和客房服务的评论,616,酒店虽老但服务还是很好，rose,花园大床房,大床房
606,关于餐饮设施和前台服务的评论,617,行政酒廊 Cathy 和 Echo 服务很好，希望行政酒廊食物种类可以更丰富。还有回访的小颖态度很赞。整体体验感很不错。,花园大床房,大床房
607,关于整体满意度和前台服务的评论,618,非常好的体验，老牌的星级酒店，服务态度很好，很多外国友人入住，位置不错！总体感觉很好，体验感很好！满意！,花园大床房,大床房
608,关于前台服务和客房服务的评论,619,老牌5星级饭店，房间有点年代感，但还是很干净，服务是真的好，从前厅到客房和餐厅，遇到的每一个服务生都很亲切，很有礼貌，4楼的博物馆记录了广州酒店的发展历程，值得一看,花园双床房,双床房
609,关于整体满意度和前台服务的评论,620,暑假带孩子去长隆，长隆附近的酒店都涨到住不起了，所以选择了住花园酒店，老牌五星级酒店，服务一流，必须五星好评。,花园双床房,双床房
610,关于前台服务和公共设施的评论,621,"美丽的花园酒店，广州的国际化大酒店，很美，服务也很好，特意表扬一下酒店的康乐部，游泳池的服务，救生员都有三个，还有酒水部，迎宾，送水送毛巾，救生员小周热情服务，讲解，让客人游泳的很安心，餐饮服务都很好，特别行政酒廊30楼的金牌导游CARRIE，没在服务时间帮我女儿做了咖啡，端午节早餐人有点多，也只等了10分钟，吃完后还有经理来道歉，服务不周，很是感慨酒店服务人员的素质，
但我这里重点说一下前台服务，希望管理层能看到，前台是我这次住店体验不好的，工作人员没有认真看订单，先分配我去9楼房间，我的订单是18楼以上的，吃完饭一看不仅楼层低，还是尾房，后来交涉后给升级了，过程就不说了，其实最终还是住的升级房型，你一早给我不是不用这么麻烦，因为我也是你们金卡会员，在办理入住的时候看到柜台堆满了一支一支的康乃馨，是送给客人的，给我办理的工作人员没有任何触动，就在她手边。
大堂的迎宾小姐姐还会主动帮客人拍照，很美的酒店，希望前台能看到，不要给酒店拖后腿。",花园双床房,双床房
611,关于整体满意度和餐饮设施的评论,622,房间干净卫生，超喜欢后花园，忘了拍照，还参观了4楼的博物馆，服务态度不是一般的好，在酒店吃了早餐和晚餐，菜式丰富，根本没办法一一品尝，非常满意，下次过来还会选择花园酒店,花园大床房,大床房
612,关于整体满意度和周边配套的评论,623,广州的老牌酒店！各方面都还是不错！房间不算大，但布局还算合理。后花园是酒店的亮点，荔湾亭点心出品也是不错的！,花园双床房,双床房
613,关于性价比和交通便利性的评论,624,老牌五星级酒店，还是很能打的，性价比高！离地铁非常近，离利苑近！酒店金碧辉煌的，很多老外，周边很多印度餐厅??,花园大床房,大床房
614,关于交通便利性和前台服务的评论,625,位置很好，出行方便，设施，卫生，前台服务也很不错。就是两点瑕疵：门童交接有空档，下大雨的天气，开车到了，也没人指引停车，接箱子；大堂引导员有点不在状态，不停私语，还望加强培训。,花园大床房,大床房
615,关于卫生状况和整体满意度的评论,626,酒店环境很好，非常干净，服务好,花园双床房,双床房
616,关于周边配套和体验的评论,627,很有文化底蕴的酒店，博物馆超级棒,花园双床房,双床房
617,关于餐饮设施和前台服务的评论,628,大堂气派！老牌酒店服务做得就是好，每天都有小惊喜，太贴心了！！自助早餐选择种类很多，必定有你喜欢??,花园双床房,双床房
618,关于周边配套和交通便利性的评论,629,每次去广州都备注的一个酒店之一，环境不错，就是房间小一点，周围购物方便，去任何一个地方也很方便，最喜欢的就是酒店的花,花园双床房,双床房
619,关于酒店和体验的评论,630,"是什么好运让我在广州暴雨天气入住了花园酒店～
没有亲眼目睹花园酒店的瀑布后花园有点遗憾，
但其他都是很棒的体验～

所选的区域位置比较市中心，
无论去广州塔还是去沙面岛玩耍
居中的位置出行都比较方便。

大堂看着有点奢华，
一楼有瀑布餐厅以及下午茶??
定了两间双床和大床，
虽然是一样的价格，但大床房带浴缸
备好泡泡浴球可以带娃洗个泡泡浴??

早餐就是比较中规中矩的自助餐，
但点心这块很是吸引甜品爱好者～

下次来还是会住这里，希望可以天公作美～",花园大床房,大床房
620,关于交通便利性和公共设施的评论,631,酒店位置出行方便 虽然是近40年前开业的第一批五星级酒店 但是并不觉得老旧 房间面积大分区合理 健身房设施齐备 后花园颇有岭南园林神韵值得一观 行政酒廊在顶层旋转餐厅 服务细致热情 唯一小缺憾是房间香氛有点类似于阿拉伯特点 略微不适应,红棉大床套房,套房
621,关于性价比和餐饮设施的评论,632,广州和南沙两家花园酒店都住了，自助晚餐都做得很一般，没啥好吃的，三文鱼质量也不行，这个房价实在性价比不高,花园双床房,双床房
622,关于整体满意度和交通便利性的评论,633,酒店环境非常棒，去各个景点都很方便，房间也干净，服务贴心，因为办理了续住，酒店还送了早餐，非常满意的一次体验,花园双床房,双床房
623,关于餐饮设施和前台服务的评论,634,很满意的一次住宿，环境好，早餐品种很丰富，一楼瀑布餐厅，三楼中餐厅，还有三十楼的行政酒廊，Carrie和Echo二位小姐姐很专业又很有礼貌，推荐，推荐,花园大床房,大床房
624,关于整体满意度和房间设施的评论,636,房间很不错，服务也很到位。很有年代感的一家酒店，下次来还会光顾,花园双床房,双床房
625,关于整体满意度和交通便利性的评论,637,定的大床房，给升级了套房，套房的面积比大床房大一倍，没有到酒店之前很忐忑，因为看到评论说因为酒店旧所以有霉味，到了房间之后发现完全是多虑了，房间一点味道也没有，地理位置也很棒，打车去各景点大概都在30元以内，出酒店门就是地铁，周边吃的也很多，很多热门的店周边都有分店。这次住的很满意。,花园大床房,大床房
626,关于交通便利性和前台服务的评论,638,花园酒店位于城市市中心很方便，酒店的花园也很漂亮，服务也很好，大堂非常的华丽，?酒店大堂的花园大使小何服务很不错??,花园大床房,大床房
627,关于前台服务和餐饮设施的评论,639,前台Zara和Viria的接待很热情，免费赠送了小朋友早餐。分别体验了一楼瀑布餐厅和30楼的旋转餐厅。,红棉大床套房,套房
628,关于整体满意度和体验的评论,640,酒店环境好 很好看的酒店,花园大床房,大床房
629,关于交通便利性和房间设施的评论,641,淘金地铁站出来就是，但是门前交通不太方便，车进酒店要等很久。景观一般。设施是不错的，还有咖啡机，床比较大。,花园大床房,大床房
630,关于前台服务和性价比的评论,642,跟我前一天的天差地别，前台帮我办理入住的礼宾也非常富有笑容和专业，全程微笑。价位适中，值得再次入住,红棉双床套房,套房
631,关于整体满意度和房间设施的评论,643,"一路风雨来到广州，毕竟有悠久的历史，从城到人到酒店从美景到美食都丰富而厚重。
房间免费升级行政套房，17岁的少年免费加床，花园饭店真的有温暖到我，房间的细节让，辉煌的大堂，让多年来游历29国的我第一次感觉到宾至如归，结合国外很多博物馆的展品，终于明白了，他们当年为何那样推崇中国元素的装修。
床很舒服，布局合理，枕头可选择，香皂很香，拖鞋很软，自动窗帘方便又遮光，灯光很舒适，忘带房卡也不怕去，电梯口总有热情美丽的服务员。
地铁淘金站的旁边，地处越秀老城区，繁华方便，到各个景点都很方便，外国门童帮忙开门时，心中很骄傲，民族自豪感。
花园酒店让我的广州之行幸运，圆满，非常完美的入住体验，五星推荐！",花园大床房,大床房
632,关于整体满意度和房间设施的评论,644,花园酒店是老广心中机具代表性的酒店，从小就对酒店有着特殊的情感，今天终于有机会体验一次，房间做了升级，套房空间大，环境卫生可以，本次出行满意,花园双床房,双床房
633,关于前台服务和交通便利性的评论,645,非常喜欢这家，每次来广州只选花园，服务和交通便利没话说，??,花园大床房,大床房
634,关于交通便利性和前台服务的评论,646,"位置:越秀区中心位置，近地铁，出行就餐方便。
惊喜:感谢前台艾薇儿，赠送了三份早餐，升级90平行政套房。风景绝佳，体验不俗。
氛围营造:文化气息浓郁的大堂，国风雅韵buff，春节还有室内庙会，年味浓郁。
服务:春节期间，实习生过多，有些跟不上，可以理解。
用餐:场地小，西餐偏多，喜欢粤式早茶的请飘过。
总体:老国产五星级，有自己的调性！",花园双床房,双床房
635,关于前台服务和整体满意度的评论,647,到酒店时间晚，感谢前台小姐姐安排了满意的房间和延迟退房。每次到广州都住花园酒店，漂亮，卫生、服务好、出行方便。5??赞赞赞,花园大床房,大床房
636,关于前台服务和退房/入住效率的评论,648,酒店服务太差了，整个过程是，在酒店打印资料费20元，我提出放房费一起结算，工作人员说只能现场支付。现场支付了20，最后结帐酒店又从押金中扣，两次投诉才拿回20元，整个过程匪夷所思，难道只有二次付款才能从押金里扣吗？！现场支付后工作人员不进行标注的吗？！区区20元，费的心力远不及此。更气的是住3天花将近5千，发票只开了1128元，莫名其妙的各种错！作为五星酒店的基本服务能力在哪里？！,花园双床房,双床房
637,关于前台服务和整体满意度的评论,649,广州花园酒店服务体验非常好，可以说是感动式服务，酒店注重服务细节和用户体验，主动为客户提供超值的升级服务，从迎宾、接待、客房到环境和配套都名副其实，再次到广东还想入住花园酒店，感谢酒店管理者和服务人员的辛苦付出和优质服务，你们完全能代表中国五星级酒店品牌和形象！,花园双床房,双床房
638,关于前台服务和整体满意度的评论,650,老牌酒店的品质保证，第一次入住花园酒店，感觉很贴心，免费升级了套房，送了入住果盘、小孩洗漱套装、冰箱贴、手绘地图，还给小朋友送了一只小羊玩偶，特别可爱。酒店虽然有点年份，但整体还是干净整洁，大堂很华丽，很多广州的装饰，还有一个博物馆可以了解酒店的背景和文化。瀑布餐厅氛围感很好，可以看到花草繁茂的后花园和流水瀑布。整体服务很到位，客房、餐厅都有充足的服务人员，前台的Mancy和James特别nice，有种宾至如归的感觉。,花园双床房,双床房
639,关于餐饮设施和整体满意度的评论,651,酒店环境优美，瀑布餐厅和后院的小花园都很有特色，工作人员服务热情，房间干净卫生，稍小设施也有点老旧。早餐非常丰富，还有很多外国人，总体还是非常不错的。,花园双床房,双床房
640,关于交通便利性和餐饮设施的评论,652,服务非常好！里面的餐也很正宗，地理位置很好，地铁站出口就是，很方便！适合带孩子！,花园大床房,大床房
641,关于前台服务和周边配套的评论,653,来过很多次了，这边的人气跟地理位置都让我很喜欢，也是一个非常有老广气息的酒店，这边也有挺出名的餐厅，还有一进门就能见到身穿金色衣服的小姐姐，交谈过后发现他们原来是花园白金大使，让我印象深刻的是一个叫小何的大使，服务真的很不错??,花园大床房,大床房
642,关于房间设施和前台服务的评论,654,房间很好，适合小朋友，还有小朋友拖鞋牙刷，打电话给前台，送来的非常快。还有铅笔橡皮尺子卷笔刀。小胶棒，小羊商铺ADA LINA 迎宾LIVEN 都很好。来之前看到很多差评，有点忐忑，但是来了之后，很好。小朋友说非常好，酒店特别大,花园双床房,双床房
643,关于餐饮设施和前台服务的评论,655,91年的时候路过花园酒店，觉得好高端好大气，就非常想去，各种阴差阳错，一拖就拖到了30年后。后花园，锦鲤酒吧感觉都非常好，早餐是在旋转餐厅吃的，风景不错，还非常丰盛，牛腩也很好吃。前台服务很好，很热情，回访的小晴态度也很好，值得表扬，有机会一定再来。,红棉大床套房,套房
644,关于餐饮设施和整体满意度的评论,656,大堂美轮美奂，瀑布餐厅震撼。太喜欢花园酒店了,花园双床房,双床房
645,关于房间设施和餐饮设施的评论,657,房间设施很好，餐饮很精致，服务员很多，随时出现在你需要的时候。,花园大床房,大床房
646,关于整体满意度和卫生状况的评论,658,房间干净整齐，服务很棒。环境配得上五星级，后花园飞瀑流泉，游鱼欢悦，绿树蓬蓬。酒店建筑设计更是独到有文化韵味。,红棉大床套房,套房
647,关于整体满意度和餐饮设施的评论,659,老牌五星级酒店，虽然有将近四十年了，但内部装修风格和质感比大部分现在新的酒店都好多了，环境不用说，对得起花园酒店的名字，服务不知道是不是广交会的缘故，住的几天都特别好，早餐分别吃了30楼旋转餐厅和一楼瀑布餐厅的，东西差不多，都很丰富，总体对这几天的入住很满意,花园大床房,大床房
648,关于房间设施和整体满意度的评论,660,"酒店的环境真的没话说，不愧是老牌酒店，大厅富丽堂皇；
唯一的缺点就是房间有点点小，但整体房间设施都不错，干净、舒服。",花园大床房,大床房
649,关于前台服务和整体满意度的评论,661,"代客户预订，还给升级了房间！客户感觉很满意！今天又续了一天！
作为广州的老五星，服务非常好！连每个楼层都配有服务员指引！厉害厉害！",花园大床房,大床房
650,关于前台服务和整体满意度的评论,662,对海外华人港澳台人来说最知名的内地酒店就是广州花园酒店，非常多外国客入住。位于市中心老城区位置得天独厚，服务也很好，check in等待 会送上可乐饮料。员工积极主动，广交会房间紧张时期酒店还免费给我升级了套房，可能我是携程高级会员的缘故吧，总之非常感谢酒店。,花园大床房,大床房
651,关于前台服务和整体满意度的评论,663,第一次入住白金五星级酒店，全国只有三家，这家服务真的好，服务员是很有包容心的那种，知道不说破给客人尊荣！那瀑布是绝绝子，让人很迷恋，前厅经理给我们房间升级了套房双床，送了一份早餐，第二天去用早餐，因为一份早餐的原因在30楼旋转餐厅打包两个人享用了，服务员热情的帮我打了包！后来我又去了30楼和1楼另外两个早餐厅，畅通无阻！管理员知道却默许了，让我们很舒服！去了花园博物馆，真的学到了，那份底蕴无需多言处处渗透！在楼层上电梯打开就有服务员热情的送上红茶指引，第二次上去就记得我住的房间，细节到位，下次有机会还会去花园酒店，尝尝米其林餐厅美食，在早餐厅听瀑布声，去花园酒店博物馆里记记酒店发展史！,花园双床房,双床房
652,关于餐饮设施和前台服务的评论,664,在花园酒店吃住都非常的舒服，花园酒店不愧是花园酒店，酒店的花都非常的漂亮。最让人印象深刻的就是30楼的行政酒廊，这里的风景非常优美，音乐听着也很让人动听。行政酒廊的mignon的笑容很甜美，服务很贴心，ken得服务也非常的周到。让我有一个非常不错的用餐体验，下次旅游还会选择这家酒店。,花园双床房,双床房
653,关于卫生状况和房间设施的评论,665,干净卫生，虽然有点旧,花园双床房,双床房
654,关于房间设施和前台服务的评论,666,房间很大 两米大床很舒服 服务很周到 前台送了小朋友早餐 下次还会来,红棉大床套房,套房
655,关于交通便利性和周边配套的评论,667,酒店房间挺大的，一家四口住得下，离地铁站非常近，点外卖也很方便，有酒店后面中国银行外卖柜，酒店里还有博物馆值得一看,红棉双床套房,套房
656,关于整体满意度和交通便利性的评论,668,非常非常满意的一次入住，酒店就在市中心，离地铁站也近，去哪里都特别方便。特别感谢Rebecca小钟，看我们又老又小，拖家带口的，主动提供了很多帮助，真心特别满意。行政酒廊的下午茶和欢乐时光我们也特别喜欢。整个酒店有好多外国人进出，非常国际化，还可以喂锦鲤，孩子喜欢的不得了！,红棉双床套房,套房
657,关于整体满意度和体验的评论,669,这个酒店环境美爆了,花园双床房,双床房
658,关于周边配套和房间设施的评论,670,酒店位置不错，无论是出游还是觅食都很方便，但是房型实在实在是有点太小了，第一次见到一个五星酒店、浴缸和淋浴房局促在小小的一个空间里，确实也是没想到的。。。不清楚是不是广交会的缘故，大堂晚上会有美丽的小姐姐跳舞，贴心的管家小姐姐还帮我们插了鲜花，感恩ing！,花园双床房,双床房
659,关于前台服务和体验的评论,671,特别感谢前台小姐姐Ann在我9/22号办理入住时的热情细致的接待,花园大床房,大床房
660,关于前台服务和退房/入住效率的评论,672,前台服务态度非常好，办理入住和退房也迅速，生日升级了套房。晚上瀑布自助餐，种类少。门口因为兴建地铁，很难去建设六马路。,花园双床房,双床房
661,关于交通便利性和周边配套的评论,673,入住两天，感受都还不错，交通也很方便，打车地铁都很便捷。周围美食也很多，广州酒家，点都德，赵记传承～酒店服务非常不错，询问去澳门大巴，服务员会亲自带着走老远到上车的地点！小颜服务热心体贴到位！谢谢她的帮助,花园双床房,双床房
662,关于交通便利性和餐饮设施的评论,674,酒店位置好，出行便利。早餐丰盛服务热情。,花园大床房,大床房
663,关于整体满意度和前台服务的评论,675,"中秋佳节来广州避台风选择了广州花园酒店
没有额外加价 性价比直接拉满
贝聿铭大师设计的雨棚穹顶充满浪漫感
但更令人惊喜的是酒店服务人员从前台到客房部到餐饮部都热情礼貌管理有素

感谢客房部的Adan和Marry金芳
给予我们整洁安静的客房环境
让我和我的家人宾至如归

感谢行政酒廊的主管Carrie女士
以及她的伙伴Rose、Cathy、Kitty
给予我和我的家人热情舒适的服务

有机会再来广州还会选择花园酒店入住的",花园大床房,大床房
664,关于客房服务和整体满意度的评论,676,大厅超美，房间舒适，还有小点心，客房服务周到，服务热情，后花园打卡好去处,花园大床房,大床房
665,关于客房服务和餐饮设施的评论,677,"房间物品补充及时。
行政酒廊的Carrie和mira服务热情周到，很棒！",花园大床房,大床房
666,关于房间设施和卫生状况的评论,678,环境很美 服务也挺好 就是换气不好导致房间浴室有味 浴缸龙头的周围也能看出设施老旧,红棉双床套房,套房
667,关于公共设施和体验的评论,679,酒店本身就是一个景点，最惊艳的是四楼的博物馆！,花园双床房,双床房
668,关于交通便利性和周边配套的评论,680,和好友分别带孩子去长隆玩，选择了交通方便的市区，不亏是花城，酒店处处都是景，很多拍照打卡、拍摄婚纱的，满眼的绿植、鲜花视觉放松、漫步其中，心情愉悦，标准客房2大2小足够用，紧凑、够用、舒适、卫生！酒店本身就是小景点！,花园双床房,双床房
669,关于前台服务和整体满意度的评论,681,"帮我升级了房型，谢谢
但送的小羊没有了，可惜",红棉大床套房,套房
670,关于前台服务和整体满意度的评论,682,再次来到花园酒店，不再是只有情怀在牵引着我，开门小哥哥的笑容，金色小姐姐的迎接，前台妹妹的有求必应，房间的干净卫生，每一样都是能与白金五星的对标！单独表扬感谢Jin经理的帮助，和让我感受到花园的温暖！作为广州人，花园酒店已经不再是记忆中的大酒店，而且有温度与回忆，传承与融合的文化载体！我会再来的，也会与亲朋好友再来的！,花园双床房,双床房
671,关于整体满意度和房间设施的评论,683,"环境：大厅很大气，金碧辉煌


设施：虽然老牌五星，但整体保护的很好
床品：舒适

卫生：干净

服务：从门童开始整体都很友好

餐食：瀑布餐厅look很好，早餐还行，但品类不多",花园双床房,双床房
672,关于整体满意度和餐饮设施的评论,684,设计非常好，早餐品类丰富，Lili的服务态度非常暖心，总体入住体验绝佳,花园双床房,双床房
673,关于整体满意度和房间设施的评论,685,"广州酒店首选！
设施：软件硬件没得说
卫生：超五星酒店标准
环境：环境幽雅宜人
服务：一流",花园大床房,大床房
674,关于整体满意度和体验的评论,686,这是一段难忘的出行，来广州的次数不多，每一次我都选择花园酒店，每一次花园酒店都不会让我失望。下次还来,花园大床房,大床房
675,关于前台服务和体验的评论,687,连住几天，今天恰逢儿子生日，前台的lili  NIKI给我们精心准备了蛋糕，走心的服务,花园双床房,双床房
676,关于房间设施和卫生状况的评论,688,"进房间的桌面
第一晚的被子还有破洞，未拍
连续两晚脏被子
外出回来的纸巾盒
加钱升级的套房
不想评价，选了好久的酒店！！！！",花园大床房,大床房
677,关于公共设施和整体满意度的评论,689,"上午十点半的飞机从上海飞广州一点落地，到酒
店差不多两点，就不想再去景点人挤人了，所以
特意选了这家自己就可以当作景点的花园酒店好适合带小朋友的家庭言因为过年期间客人太多，所以一直晚等到四点半多才打扫完房间，但是呢一点也没有影响旅行的心情。寄存完行李以后，拿着酒店地图去把酒店的景点都打一遍卡再去酒店四楼的博物馆听了三点的讲解，了解中西方酒店发展史，逛完博物馆正好去二楼荔湾亭吃个下午茶，一系列操作完毕以后刚刚好回房间休息，完美。不得不说广州真的太有过年和搞钱的氛围感了，整个儿金碧辉煌富丽堂皇。",花园双床房,双床房
678,关于整体满意度和体验的评论,690,一个有文化的底蕴的酒店，有博物馆的酒店，服务贴心,城央绿意双床房,双床房
679,关于前台服务和餐饮设施的评论,691,广州之行的最后一天订在了有“白金五星”之称的“花园酒店”，酒店位于中心城区，极具岭南文化特色并与现代科技相结合；这次行程匆忙，酒店里许多地方没有打卡，早餐选择一楼的瀑布餐厅；酒店的后花园着实惊喜，虽是雨天，景致依然很美！前台服务尚觉欠缺，相比之下，三十楼的行政酒廊堪称完美，工作人员热情好客，详细的介绍、周全的服务，让初来广州的我们真切体会到了宾至如归，在这里也表达对你们的谢意????,花园大床房,大床房
680,关于餐饮设施和整体满意度的评论,692,服务很到位的老牌五星 早餐厅都有三个 每一个都很有特色,红棉大床套房,套房
